"project","method_qual_name","release","loc","cbo","wmc","rfc","lcom","dit","noc","is_long_method","is_god_class"
"BOOKKEEPER","TestClient/1[java.lang.String]","4.0.0","10","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","TestClient/3[java.lang.String,int,int]","4.0.0","10","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","TestClient/0","4.0.0","4","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","getFreshEntryId/1[int]","4.0.0","7","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","writeConsecutiveEntriesBatch/1[int]","4.0.0","23","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","addComplete/4[int,org.apache.bookkeeper.client.LedgerHandle,long,java.lang.Object]","4.0.0","3","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","main/1[java.lang.String[]]","4.0.0","36","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","writeSameEntryBatchFS/2[byte[],int]","4.0.0","17","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","readComplete/4[int,org.apache.bookkeeper.client.LedgerHandle,java.util.Enumeration<org.apache.bookkeeper.client.LedgerEntry>,java.lang.Object]","4.0.0","10","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","closeHandle/0","4.0.0","3","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","removeEntryId/1[java.lang.Integer]","4.0.0","12","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","TestClient/1[java.io.FileOutputStream]","4.0.0","4","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","writeSameEntryBatch/2[byte[],int]","4.0.0","14","8","31","37","0.0","1","0","0","0"
"BOOKKEEPER","writeSameEntry/2[byte[],int]","4.0.0","11","5","12","21","2.0","1","0","0","0"
"BOOKKEEPER","closeHandle/0","4.0.0","3","5","12","21","2.0","1","0","0","0"
"BOOKKEEPER","writeSameEntryBatch/2[byte[],int]","4.0.0","14","5","12","21","2.0","1","0","0","0"
"BOOKKEEPER","MySqlClient/3[java.lang.String,java.lang.String,java.lang.String]","4.0.0","16","5","12","21","2.0","1","0","0","0"
"BOOKKEEPER","main/1[java.lang.String[]]","4.0.0","22","5","12","21","2.0","1","0","0","0"
"BOOKKEEPER","takeRegionMaximum/3[org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId.Builder,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId]","4.0.0","16","8","22","26","21.0","1","0","0","0"
"BOOKKEEPER","inMapForm/1[org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId]","4.0.0","7","8","22","26","21.0","1","0","0","0"
"BOOKKEEPER","mergeLocalSeqId/2[org.apache.hedwig.protocol.PubSubProtocol.Message.Builder,long]","4.0.0","6","8","22","26","21.0","1","0","0","0"
"BOOKKEEPER","msgIdToReadableString/1[org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId]","4.0.0","13","8","22","26","21.0","1","0","0","0"
"BOOKKEEPER","compare/2[java.util.List<java.lang.Long>,java.util.List<java.lang.Long>]","4.0.0","14","8","22","26","21.0","1","0","0","0"
"BOOKKEEPER","areEqual/2[org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId,org.apache.hedwig.protocol.PubSubProtocol.MessageSeqId]","4.0.0","19","8","22","26","21.0","1","0","0","0"
"BOOKKEEPER","mergeLocalSeqId/2[org.apache.hedwig.protocol.PubSubProtocol.Message,long]","4.0.0","3","8","22","26","21.0","1","0","0","0"
"BOOKKEEPER","getSuccessResponse/1[long]","4.0.0","3","6","3","9","3.0","1","0","0","0"
"BOOKKEEPER","getResponseForException/2[org.apache.hedwig.exceptions.PubSubException,long]","4.0.0","3","6","3","9","3.0","1","0","0","0"
"BOOKKEEPER","getBasicBuilder/1[org.apache.hedwig.protocol.PubSubProtocol.StatusCode]","4.0.0","3","6","3","9","3.0","1","0","0","0"
"BOOKKEEPER","isHubSubscriber/1[org.apache.hedwig.protoextensions.ByteString]","4.0.0","3","3","2","6","1.0","1","0","0","0"
"BOOKKEEPER","toString/1[org.apache.hedwig.protocol.PubSubProtocol.SubscriptionState]","4.0.0","5","3","2","6","1.0","1","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/1[java.io.InputStream]","4.0.0","9","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[java.io.InputStream]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","(initializer 12)","4.0.0","5","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","hasSubscriberId/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","UnsubscribeRequest/1[boolean]","4.0.0","2","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","writeTo/1[com.google.protobuf.CodedOutputStream]","4.0.0","7","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","9","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstance/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getSubscriberId/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","isInitialized/0","4.0.0","4","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.CodedInputStream]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstanceForType/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","initFields/0","4.0.0","2","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","UnsubscribeRequest/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","newBuilder/1[org.apache.hedwig.protocol.PubSubProtocol.UnsubscribeRequest]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.ByteString,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","toBuilder/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getSerializedSize/0","4.0.0","11","11","33","19","291.0","2","0","0","0"
